locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b3623,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3624,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3625,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3626,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3627,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3628,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3629,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3630,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3631,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3632,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3633,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b3634,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
b3635,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Base excision repair
b3636,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3637,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3639,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
b3640,DNA repair and recombination proteins,genetic information processing,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b3641,Transcription factors; Chromosome and associated proteins,genetic information processing,,,
b3642,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b3643,Transfer RNA biogenesis,genetic information processing,,,
b3645,DNA repair and recombination proteins,genetic information processing,,,
b3647,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Base excision repair; Nucleotide excision repair; Mismatch repair
b3648,,,Metabolism,Nucleotide metabolism,Purine metabolism
b3649,Transcription machinery; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Transcription,RNA polymerase
b3650,Ribosome biogenesis,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism
b3651,Transfer RNA biogenesis,genetic information processing,,,
b3652,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b3653,Transporters,signaling and cellular processes,,,
b3654,Transporters,signaling and cellular processes,,,
b3658,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3659,Transporters,signaling and cellular processes,,,
b3661,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3662,Transporters,signaling and cellular processes,,,
b3664,Transporters,signaling and cellular processes,,,
b3665,,,Metabolism,Nucleotide metabolism,Purine metabolism
b3666,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3667,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3668,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3669,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b3670,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3671,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3673,Transporters,signaling and cellular processes,,,
b3676,Transporters,signaling and cellular processes,,,
b3682,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Starch and sucrose metabolism; Phosphotransferase system (PTS)
b3683,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Starch and sucrose metabolism; Phosphotransferase system (PTS)
b3684,Transcription factors,genetic information processing,,,
b3686,Chaperones and folding catalysts,genetic information processing,,,
b3687,Chaperones and folding catalysts,genetic information processing,,,
b3691,Transporters,signaling and cellular processes,,,
b3693,,,Metabolism,Carbohydrate metabolism,Galactose metabolism
b3699,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,,,
b3700,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Homologous recombination
b3701,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b3702,DNA replication proteins; Chromosome and associated proteins,genetic information processing,Environmental Information Processing,Signal transduction,Two-component system
b3703,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b3704,Transfer RNA biogenesis,genetic information processing,,,
b3705,Mitochondrial biogenesis; Secretion system,genetic information processing; signaling and cellular processes,Genetic Information Processing; Environmental Information Processing; Cellular Processes,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes",Protein export; Bacterial secretion system; Quorum sensing
b3706,Transfer RNA biogenesis,genetic information processing,,,
b3708,,,Metabolism,Amino acid metabolism,Tryptophan metabolism
b3709,Transporters,signaling and cellular processes,,,
b3710,Transporters,signaling and cellular processes,,,
b3714,Transporters,signaling and cellular processes,,,
b3720,Transporters,signaling and cellular processes,,,
b3721,,,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism
b3722,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,Phosphotransferase system (PTS)
b3723,Transcription factors,genetic information processing,,,
b3725,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3726,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3727,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3728,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport; Signal transduction,ABC transporters; Two-component system
b3729,Peptidases and inhibitors,metabolism,Metabolism,Amino acid metabolism; Glycan biosynthesis and metabolism,"Alanine, aspartate and glutamate metabolism; Amino sugar and nucleotide sugar metabolism"
b3730,,,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars
b3731,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3732,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3733,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3734,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3735,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3736,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3737,Photosynthesis proteins,metabolism,Metabolism,Energy metabolism,Oxidative phosphorylation
b3738,Photosynthesis proteins; Chaperones and folding catalysts,metabolism; genetic information processing,Metabolism,Energy metabolism,Oxidative phosphorylation
b3739,Photosynthesis proteins,metabolism,,,
b3740,Ribosome biogenesis; Chromosome and associated proteins,genetic information processing,,,
b3741,Transfer RNA biogenesis; Chromosome and associated proteins,genetic information processing,,,
b3743,Transcription factors,genetic information processing,,,
b3744,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,"Alanine, aspartate and glutamate metabolism; Cyanoamino acid metabolism"
b3747,Transporters,signaling and cellular processes,,,
b3748,,,Environmental Information Processing,Membrane transport,ABC transporters
b3749,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3750,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b3751,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cell motility,ABC transporters; Bacterial chemotaxis
b3752,,,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
b3753,Transcription factors,genetic information processing,,,
b3756,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3757,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3758,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3759,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b3760,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3761,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b3769,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3770,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Cysteine and methionine metabolism; Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3771,,,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3772,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Valine, leucine and isoleucine biosynthesis"
b3773,Transcription factors,genetic information processing,,,
b3774,,,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b3775,Chaperones and folding catalysts,genetic information processing,,,
b3778,DNA repair and recombination proteins,genetic information processing,,,
b3779,,,Metabolism,Nucleotide metabolism,Purine metabolism
b3780,Messenger RNA biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
b3781,Chaperones and folding catalysts,genetic information processing,,,
b3783,Transcription machinery; Messenger RNA biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
b3784,Glycosyltransferases; Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,O-Antigen repeat unit biosynthesis; Teichoic acid biosynthesis; Arabinogalactan biosynthesis - Mycobacterium; Exopolysaccharide biosynthesis
b3786,,,Metabolism; Environmental Information Processing,Glycan biosynthesis and metabolism; Signal transduction,Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars; Two-component system
b3787,,,Metabolism; Environmental Information Processing,Glycan biosynthesis and metabolism; Signal transduction,Biosynthesis of various nucleotide sugars; Two-component system
